"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"SAP25",5.14495500250291,6.3487882844637,2.95182499916408,0.00149738805972829,0.00806694268853242,"SAP25"
"PERP",116.993102999932,6.33850847463708,0.958289622457529,4.83806700521838e-12,1.9366418195365e-09,"PERP"
"FGD1",4.72096688858358,6.32816716456911,2.83813935190052,0.000796897829085399,0.00501155461629095,"FGD1"
"SF1",63.5466983649909,6.31541754803132,1.02195540138771,2.69617269775399e-11,8.28252530260034e-09,"SF1"
"TUBB4B",29.675455279782,6.31438639088664,1.20853632757129,3.25100503489553e-09,2.96386788052315e-07,"TUBB4B"
"PKP1",122.956176224861,6.31360238503024,0.886783869399228,7.87932849741433e-14,6.95892443731012e-11,"PKP1"
"GEMIN4",4.78125151893337,6.30827944561901,2.86252768538789,0.000971400169812044,0.00584121523387829,"GEMIN4"
"MMP1",91.6766206044634,6.30234548650313,1.25372149519348,8.79862318012063e-08,4.1583058246918e-06,"MMP1"
"SPRR3",13.546901022688,6.29946486165022,1.91281587286234,6.72032103506983e-05,0.000727700050165301,"SPRR3"
"ANXA2",48.5034462261685,6.29105155285695,0.844159340430214,1.35102042159977e-16,4.77281739440658e-13,"ANXA2"
"SF3A1",41.7967294867648,6.28842643013403,1.12381195523987,2.68071087028364e-09,2.55953549378231e-07,"SF3A1"
"H1-4",27.7642670894802,6.28554057457059,1.47477913945862,3.80632127387079e-07,1.28370228928563e-05,"H1-4"
"SEMA4B",29.5992873008403,6.28142715776824,1.14765653293925,3.80341907804632e-10,5.26922695998751e-08,"SEMA4B"
"TUBA1A",28.859777725023,6.28017572448784,1.18187058471563,5.00114921302369e-10,6.48359995681081e-08,"TUBA1A"
"SUSD2",4.63556733167528,6.27945291997254,2.8423714638296,0.000926454892887495,0.00564542220413678,"SUSD2"
"ACTA1",26.1442368149873,6.26602388264965,1.4144577339875,5.69568255561281e-08,2.94819377997673e-06,"ACTA1"
"ODC1",20.3257400530499,6.25012523568581,1.32491306897695,2.50671069716441e-08,1.53343414985412e-06,"ODC1"
"COX5A",4.49643673280716,6.24173634237343,2.82773551850747,0.000873840773826733,0.00538284392979318,"COX5A"
